name,hard_coded_name,normed_name,oid,name_1,oid_1,name_2,oid_2,name_3,oid_3,name_4,oid_4,name_5,oid_5,name_6,oid_6,name_7,oid_7,name_8,oid_8,name_9,oid_9,name_10,oid_10,name_11,oid_11,name_12,oid_12,name_13,oid_13,name_14,oid_14,name_15,oid_15,name_16,oid_16,name_17,oid_17,name_18,oid_18,name_19,oid_19,name_20,oid_20,name_21,oid_21,name_22,oid_22,name_23,oid_23,name_24,oid_24,name_25,oid_25,name_26,oid_26,name_27,oid_27
880 Pharmacy Inc.,,880 pharmacy,28019,880 Pharmacy Inc,108700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MINUTENERGY Renewables,,8minutenergy renewables,4376,8Minutenergy Renewables,111296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Business,,@business,76198,"@Business, Inc.",97593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Place For Mom,,a place for mom,5506,A Place For Mom,109191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A. Teichert & Son, Inc.",,a. teichert & son,15464,A. Teichert & Son,99843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.M. Ortega, Inc.",,a.m. ortega,103187,A.M. Ortega,107224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A123 Systems,,a123 systems,2987,A123 Systems,112586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A2 Holdings, LLC",,a2 holdings,2242,A2 Holdings LLC,113491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaa New York State,,aaa new york state,117266,"Aaa New York State, Inc.",117531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarp,,aarp,755,Aarp,107498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABATE of California,,abate of california,94868,"ABATE of California, Inc.",99120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbott Laboratories,,abbott laboratories,1103,Abbott Laboratories,109333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbvie,,abbvie,4605,Abbvie,108007,Abbvie,108213.0,Abbvie Inc.,115855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abc,,abc,121324,"Abc, Inc.",123600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Asset Management Inc.,,aberdeen asset management,4378,Aberdeen Asset Management Inc,107898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraaj North America LLC,,abraaj north america,19247,Abraaj North America LLC,108253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolut Facilities,,absolut facilities,116151,"Absolut Facilities, Inc.",118412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acacia Network, Inc.",,acacia network,116239,Acacia Network,122477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Managed Care Pharmacy,,academy of managed care pharmacy,99529,Academy of Managed Care Pharmacy,107329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadian Asset Management LLC,,acadian asset management,4928,Acadian Asset Management LLC,108079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalanes Union High School District,,acalanes union high school district,4375,Acalanes Union High School District,110967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accela, Inc.",,accela,5033,Accela Inc,109344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accent Care Home Health Of California Inc.,,accent care home health of california,4213,Accent Care Home Health Of California Inc,111403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accenture,,accenture,1656,Accenture,109708,Accenture,111698.0,Accenture LLP,108656.0,Accenture LLP,109090.0,"Accenture, LLP",94072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Mediquip,,access mediquip,2844,Access Mediquip,112220,Access Mediquip LLC,111449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Services,,access services,1990,Access Services,109998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acclamation Insurance Services Inc.,,acclamation insurance services,828,Acclamation Insurance Services Inc,114025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acclarent, Inc.",,acclarent,2371,Acclarent Inc,113089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountable Heatlh Care Ipa,,accountable heatlh care ipa,4662,Accountable Heatlh Care Ipa,110777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accreditation Commission For Health Care,,accreditation commission for health care,4982,Accreditation Commission For Health Care,110528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accredited Out Of State Colleges  Universities Of California,,accredited out of state colleges universities of california,111501,Accredited Out Of State Colleges  Universities Of California,113314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE,,ace,9623,ACEP),106953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Capital Group,,ace capital group,2847,Ace Capital Group,112200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Cash Express,,ace cash express,3583,Ace Cash Express,111680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Guaranty Corporation,,ace guaranty corporation,718,Ace Guaranty Corporation,114063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ace Ina Holdings, Inc.",,ace ina holdings,1627,Ace Ina Holdings Inc,112532,Ace Ina Holdings Inc,113736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aclara Technologies, LLC",,aclara technologies,19399,Aclara Technologies LLC,108866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoe Alliance For Arts Learning Leadership,,acoe alliance for arts learning leadership,4694,Acoe Alliance For Arts Learning Leadership,109242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acon Investments, L.L.C.",,acon investments,5515,Acon Investments LLC,108228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorn Energy,,acorn energy,4629,Acorn Energy,110827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acs,,acs,3085,Acs,112769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act,,act,4095,Act,111480,"Act, Inc.",119076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Committee To Incorporate Oakhurst Now,,action committee to incorporate oakhurst now,1768,Action Committee To Incorporate Oakhurst Now,113690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actis Advisers Inc.,,actis advisers,26791,Actis Advisers Inc,108306,Actis Advisers Inc,108315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actis Gp LLP And Affiliated Entity Actis Advisers Inc.,,actis gp llp and affiliated entity actis advisers,30055,Actis Gp LLP And Affiliated Entity Actis Advisers Inc,108314,Actis Gp LLP And Affiliated Entity Actis Advisers Inc,114477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Actis, LLP",,actis,4177,Actis LLP,107845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Active Environments, Inc.",,active environments,100053,Active Environments,103986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activision Blizzard,,activision blizzard,3846,Activision Blizzard,111770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actors' Fund Of America,,actors fund of america,119876,Actors Fund Of America,120357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupuncture Integrated Medical Specialists,,acupuncture integrated medical specialists,2125,Acupuncture Integrated Medical Specialists,112982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acupuncture Society Of New York, Inc.",,acupuncture society of new york,117740,Acupuncture Society Of New York. Inc.,123711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acxiom Corporation,,acxiom corporation,1458,Acxiom Corporation,109663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Added Edge,,added edge,102857,The Added Edge,106087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Addus Healthcare, Inc.",,addus healthcare,314,Addus Healthcare Inc,110037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adelanto, City Of",,city of adelanto,1875,City of Adelanto,96501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adheris Inc.,,adheris,2852,Adheris Inc,112931,"Adheris, Inc.",122203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas America,,adidas america,3065,Adidas America,112035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adirondack Council,,adirondack council,28679,The Adirondack Council,107357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adirondack Landowners' Association, Inc.",,adirondack landowners association,120535,Adirondack Landowners Association,122874,"Adirondack Landowners Association, Inc.",123284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adirondack Mountain Club,,adirondack mountain club,28681,"Adirondack Mountain Club, Inc.",116058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Administaff, Inc.",,administaff,1655,Administaff Inc,111934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Administrative Services Cooperative, Inc.",,administrative services cooperative,30081,Administrative Services Cooperative Inc,108709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe,,adobe,32583,Adobe Inc.,99496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adobe Systems, Inc.",,adobe systems,44725,Adobe Systems,108820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption services.,,adoption services,96097,a)   Adoption services.,105741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,,adp,61265,"Adp, Llc.",115572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adp Claims Solutions Group,,adp claims solutions group,1660,Adp Claims Solutions Group,113723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adp Payroll Services, Inc.",,adp payroll services,4190,Adp Payroll Services Inc,111416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adp Totalsource,,adp totalsource,1654,Adp Totalsource,110173,Adp Totalsource,113724.0,"Adp Totalsource, Inc.",116585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ads Ventures, Inc.",,ads ventures,26790,Ads Ventures Inc,108618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADT Security Services,,adt security services,97512,"Adt Security Services, Inc.",116913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adt, Inc.",,adt,4759,Adt Inc,110035,Adt LLC,108594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Day Health Care Association,,adult day health care association,4163,Adult Day Health Care Association,111436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced BioHealing, Inc.",,advanced biohealing,3425,Advanced Biohealing Inc,112236,Advanced Biohealing Inc,111465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Clean Up Technologies, Inc.",,advanced clean up technologies,2968,Advanced Clean Up Technologies Inc,111353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Cleanup Technologies Inc.,,advanced cleanup technologies,18147,Advanced Cleanup Technologies Inc,110676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Medical Technology Association,,advanced medical technology association,1106,Advanced Medical Technology Association,111406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",,advanced micro devices,118036,Advanced Micro Devices,123699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Phase Separation LLC,,advanced phase separation,1607,Advanced Phase Separation LLC,113743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advancement Project,,advancement project,5549,Advancement Project,108232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Capital Partners,,advantage capital partners,552,Advantage Capital Partners,109711,Advantage Capital Partners,113820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advent Capital Management, LLC",,advent capital management,4751,Advent Capital Management LLC,108038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advent International Corporation,,advent international corporation,4496,Advent International Corporation,107964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventist Health,,adventist health,2442,Adventist Health,110444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advocacy Inc,,advocacy,27196,Advocacy,103468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advocation, Inc.",,advocation,1150,Advocation Inc,109423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
