name,hard_coded_name,normed_name,oid,name_1,oid_1,name_2,oid_2,name_3,oid_3,name_4,oid_4,name_5,oid_5,name_6,oid_6,name_7,oid_7,name_8,oid_8,name_9,oid_9,name_10,oid_10,name_11,oid_11,name_12,oid_12,name_13,oid_13,name_14,oid_14,name_15,oid_15,name_16,oid_16,name_17,oid_17,name_18,oid_18,name_19,oid_19,name_20,oid_20,name_21,oid_21,name_22,oid_22,name_23,oid_23,name_24,oid_24,name_25,oid_25,name_26,oid_26,name_27,oid_27
Aquiline Holdings LLC,,aquiline holdings,4735,Aquiline Holdings LLC,108031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ara Private Equities Limited,,ara private equities,4192,Ara Private Equities Limited,111415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aramark Correctional Services, Inc.",,aramark correctional services,1136,Aramark Correctional Services Inc,113811,"Aramark Correctional Services, LLC",114768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arborland Montessori School,,arborland montessori school,103190,Arborland  Montessori School,107226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARC,,arc,7550,The Arc,28429,"Arc, Inc.",119622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc Development,,arc development,119501,Arc Development LLC,120647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arc Light Capital Partners, LLC",,arc light capital partners,5020,Arc Light Capital Partners LLC,108110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc Of California; The,,arc of california,3460,Arc Of California The,107707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc of Ventura County,,arc of ventura county,10508,The Arc of Ventura County,101707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arcadia, City Of",,city of arcadia,1432,City of Arcadia,97202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadis US,,arcadis us,59035,"Arcadis U.s., Inc.",117386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archdiocese Of Los Angeles,,archdiocese of los angeles,5188,Archdiocese Of Los Angeles,109458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Capital Management, L.P.",,archer capital management,19269,Archer Capital Management LP,108258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland,,archer daniels midland,19026,Archer Daniels Midland,109108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland Company,,archer daniels midland company,3680,Archer Daniels Midland Company,111110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archview Investment Group LP,,archview investment group,4684,Archview Investment Group LP,108016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcLight Capital Holdings, LLC",,arclight capital holdings,4220,Arclight Capital Holdings LLC,111395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arclight Capital Partners LLC,,arclight capital partners,108325,"Arclight Capital Partners, LLC",119475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arctic Glacier, Inc.",,arctic glacier,4886,Arctic Glacier,109018,Arctic Glacier Inc,110601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden Park Home Owners Association,,arden park home owners association,1856,Arden Park Home Owners Association,113653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arent Fox LLP,,arent fox,31893,Arent Fox,118271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ares Commercial Finance LP,,ares commercial finance,5555,Ares Commercial Finance LP,109078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ares Management LLC,,ares management,4563,Ares Management LLC,107983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argo Group Us,,argo group us,16009,Argo Group Us,112127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argonaut Group Inc.,,argonaut group,1450,Argonaut Group Inc,113794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ariel Investments, LLC",,ariel investments,5051,Ariel Investments LLC,108134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ariosa Diagnostics, Inc.",,ariosa diagnostics,4841,Ariosa Diagnostics Inc,109265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aristotle International, Inc.",,aristotle international,786,Aristotle International Inc,114046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armajaro Asset Management LLP,,armajaro asset management,4842,Armajaro Asset Management LLP,108061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armed Forces Retirees Association Of California,,armed forces retirees association of california,1987,Armed Forces Retirees Association Of California,112599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artesia City Of,,artesia city of,643,Artesia City Of,108500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artichoke Joe'S, Inc.",,artichoke joes,822,Artichoke JoeS Inc,109613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artio Global Management LLC,,artio global management,4690,Artio Global Management LLC,108018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asb Capital Management LLC,,asb capital management,4714,Asb Capital Management LLC,108026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ascend Capital, LLC",,ascend capital,4441,Ascend Capital LLC,107934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascend Learning,,ascend learning,5563,Ascend Learning,109053,Ascend Learning LLC,114337.0,"Ascend Learning, Inc.",115289.0,"Ascend Learning, LLC",117611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ascent Aviation Group, Inc.",,ascent aviation group,118038,"Ascent Aviation Group, INC",123006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aseptic Packaging Council,,aseptic packaging council,3191,Aseptic Packaging Council,112672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashland Group, L.P.",,ashland group,3995,Ashland Group LP,111540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asian & Pacific Islander Coalition On Hiv aids, Inc.",,asian & pacific islander coalition on hiv aids,119322,Asian & Pacific Islander Coalition On Hiv   Aids,119627,Asian & Pacific Islander Coalition On Hiv aids,123728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian American Drug Abuse Program,,asian american drug abuse program,45347,"Asian American Drug Abuse Program, Inc.",102473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian American's Advancing Justice-Sacramento,,asian americans advancing justice-sacramento,96900,Asian Americans Advancing Justice-Sacramento,97630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Americans Advancing Justice Los Angeles,,asian americans advancing justice los angeles,7621,Asian Americans Advancing Justice  Los Angeles,108389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Americans For Equality Inc.,,asian americans for equality,116308,Asian Americans For Equality,121201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Americans For Political Advancement,,asian americans for political advancement,3990,Asian Americans For Political Advancement,111544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asphalt Green, Inc.",,asphalt green,116670,Asphalt Green,119342,"Asphalt Green, INC",122325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asphalt Pavement Association,,asphalt pavement association,1683,Asphalt Pavement Association,112290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asphalt Roofing Manufacturers Assocation,,asphalt roofing manufacturers assocation,14158,Asphalt Roofing Manufacturers Assocation,113318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asphalt Roofing Manufacturers Association,,asphalt roofing manufacturers association,3337,Asphalt Roofing Manufacturers Association,109636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRANET,,aspiranet,5297,Aspiranet,108399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspire Public Schools,,aspire public schools,2859,Aspire Public Schools,112928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplundh Tree Expert Co.,,asplundh tree expert,2940,Asplundh Tree Expert Co,112857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asset Preservation, Inc.",,asset preservation,3074,Asset Preservation Inc,112780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisted Healthcare Services,,assisted healthcare services,4201,Assisted Healthcare Services,111411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisted Living Advocates Of California,,assisted living advocates of california,1433,Assisted Living Advocates Of California,113799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assistive Technology Group, Inc.",,assistive technology group,1867,Assistive Technology Group Inc,111965,Assistive Technology Group Inc,113647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associa,,associa,3874,Associa,109287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Bodywork And Massage Professionals,,associated bodywork and massage professionals,16816,Associated Bodywork And Massage Professionals,111571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Builders And Contractors Of California,,associated builders and contractors of california,2506,The Associated Builders and Contractors of California,100200,Associated Builders And Contractors Of California,107633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated Builders and Contractors, Inc.",,associated builders and contractors,42386,Associated Builders and Contractors,103681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated California Self Insured Businesses,,associated california self insured businesses,1824,Associated California Self Insured Businesses,109435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated Foreign Exchange, Inc.",,associated foreign exchange,5091,Associated Foreign Exchange Inc,110331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated General Contractors,,associated general contractors,29805,The Associated General Contractors,99846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated General Contractors Of California,,associated general contractors of california,9,Associated General Contractors Of California,108366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated Licensed Detectives Of Nys, Inc.",,associated licensed detectives of nys,117687,Associated Licensed Detectives Of Nys,122719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Ready Mixed Concrete,,associated ready mixed concrete,9553,"Associated Ready Mixed Concrete, Inc.",101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Student Government of Santa Barbara City College,,associated student government of santa barbara city college,94492,"Associated Student Government of Santa Barbara City College,",101309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association For Advanced Life Underwriting,,association for advanced life underwriting,3399,Association For Advanced Life Underwriting,112226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association For California High Speed Trains,,association for california high speed trains,3557,Association For California High Speed Trains,110174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association For Los Angeles Deputy Sheriffs,,association for los angeles deputy sheriffs,704,Association For Los Angeles Deputy Sheriffs,112683,The Association for Los Angeles Deputy Sheriffs,102519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association For Professional Career Development,,association for professional career development,2652,Association For Professional Career Development,110852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of American Medical Colleges,,association of american medical colleges,4022,Association Of American Medical Colleges,111525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of American Publishers,,association of american publishers,700,Association Of American Publishers,108390,Association Of American Publishers,113657.0,"Association of American Publishers, Inc.",105906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of American Publishing,,association of american publishing,12275,Association Of American Publishing,113329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Bay Area Governments,,association of bay area governments,475,Association Of Bay Area Governments,110288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Car Clubs,,association of california car clubs,138,Association Of California Car Clubs,108492,Association Of California Car Clubs Inc,112736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Cities Allied With Prisons,,association of california cities allied with prisons,3274,Association Of California Cities Allied With Prisons,112484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Community College Administrators,,association of california community college administrators,587,Association Of California Community College Administrators,113952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Construction Managers,,association of california construction managers,939,Association Of California Construction Managers,108592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Egg Farmers,,association of california egg farmers,3834,Association Of California Egg Farmers,110189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of California Healthcare Districts,,association of california healthcare districts,28821,The Association of California Healthcare Districts,103821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Insurance Companies,,association of california insurance companies,2535,Association Of California Insurance Companies,107638,The Association of California Insurance Companies,103532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California School Administrators,,association of california school administrators,451,Association Of California School Administrators,107459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California State Supervisors,,association of california state supervisors,4562,Association Of California State Supervisors,109278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Surety Companies,,association of california surety companies,1100,Association Of California Surety Companies,111133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Urban School Districts,,association of california urban school districts,106,Association Of California Urban School Districts,107408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Veterinarians,,association of california veterinarians,3196,Association Of California Veterinarians,112497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of California Water Agencies,,association of california water agencies,2262,Association Of California Water Agencies,107599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Chiefs Of Police,,association of chiefs of police,115602,"Association Of Chiefs Of Police, Inc.",118417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Child Victim Treatment Centers,,association of child victim treatment centers,962,Association Of Child Victim Treatment Centers,113981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Club Executives,,association of club executives,4358,Association Of Club Executives,111303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Community Human Service Agencies,,association of community human service agencies,5534,Association Of Community Human Service Agencies,109120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Community Human Services Agencies,,association of community human services agencies,94580,The Association of Community Human Services Agencies,100434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Compost Producers,,association of compost producers,4745,Association Of Compost Producers,108452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Deputy District Attorneys,,association of deputy district attorneys,5949,Association of Deputy District Attorneys;,98692,The Association of Deputy District Attorneys,102520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Destination Management Executives,,association of destination management executives,4096,Association Of Destination Management Executives,111479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Engineering Geologists Sacramento Section,,association of engineering geologists sacramento section,2695,Association Of Engineering Geologists Sacramento Section,113044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Engineering Geologists San Francisco Section,,association of engineering geologists san francisco section,2625,Association Of Engineering Geologists San Francisco Section,113096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Engineering Geologists Southern California Section,,association of engineering geologists southern california section,2696,Association Of Engineering Geologists Southern California Section,113043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Environmental Contractors,,association of environmental contractors,2043,Association Of Environmental Contractors,113235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Environmental Professionals,,association of environmental professionals,1583,Association Of Environmental Professionals,110719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Financial Development Corporations,,association of financial development corporations,1634,Association Of Financial Development Corporations,112531,The Association Of Financial Development Corporations,111816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Financial Guaranty Insurers,,association of financial guaranty insurers,2014,Association Of Financial Guaranty Insurers,113578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Global Automakers,,association of global automakers,99357,The Association of Global Automakers,106738,"Association Of Global Automakers, Inc.",116274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Home Appliance Manufacturers,,association of home appliance manufacturers,870,Association Of Home Appliance Manufacturers,112735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Home Inspectors,,association of home inspectors,116683,"Association Of Home Inspectors, Inc.",120102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Independent Commercial Producers,,association of independent commercial producers,4366,"Association Of Independent Commercial Producers, Inc.",117021,Association Of Independent Commercial Producers,111043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of International Automobile Manufacturers Aiam,,association of international automobile manufacturers aiam,111645,Association Of International Automobile Manufacturers Aiam,112571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Labor Compliance Professionals,,association of labor compliance professionals,3169,Association Of Labor Compliance Professionals,112697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Low Wealth Schools,,association of low wealth schools,4451,Association Of Low Wealth Schools,111229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association Of Marriage And Family Therapy, INC",,association of marriage and family therapy,116493,"Association Of Marriage And Family Therapy, Inc.",120405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Medical Esthetic Nurses,,association of medical esthetic nurses,2053,Association Of Medical Esthetic Nurses,113575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association Of Naturopathic Physicians, Inc.",,association of naturopathic physicians,119539,Association Of Naturopathic Physicians,122888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Northern California Oncologists,,association of northern california oncologists,1648,Association Of Northern California Oncologists,109848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Orange County Deputy Sheriffs,,association of orange county deputy sheriffs,3365,Association Of Orange County Deputy Sheriffs,110144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association Of Pbas, Inc.",,association of pbas,116245,"Association Of Pba's, Inc.",119323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association Of Plumbing, Heating & Cooling Contractors",,"association of plumbing, heating & cooling contractors",116480,"Association Of Plumbing, Heating & Cooling Contractors, Inc.",121052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Postconsumer Plastic Recyclers,,association of postconsumer plastic recyclers,4114,Association Of Postconsumer Plastic Recyclers,110269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association Of Realtors, Inc.",,association of realtors,114765,Association Of Realtors,119153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Regional Center Agencies,,association of regional center agencies,439,Association Of Regional Center Agencies,107454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Retired Teachers,,association of retired teachers,674,Association Of Retired Teachers,110266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Settlement Companies The,,association of settlement companies,2162,Association Of Settlement Companies,119663,Association Of Settlement Companies The,111863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Association Of Small City School Districts, Inc.",,association of small city school districts,116249,Association Of Small City School Districts,120645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Surgical Technologists,,association of surgical technologists,4985,Association Of Surgical Technologists,110525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Surrogates & Supreme Court Reporters,,association of surrogates & supreme court reporters,118602,Association Of Surrogate's & Supreme Court Reporters,122160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Surrogates & Supreme Court Reporters Within The City Of New York,,association of surrogates & supreme court reporters within the city of new york,115522,Association Of Surrogate's & Supreme Court Reporters Within The City Of New York,116509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Talent Agents,,association of talent agents,2575,Association Of Talent Agents,110295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association Of Workers' Compensation Professionals,,association of workers compensation professionals,26773,Association Of Workers Compensation Professionals,108791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assurant Solutions,,assurant solutions,122449,"Assurant Solutions, Inc.",122498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assured Guaranty Corp.,,assured guaranty corp,4295,Assured Guaranty Corp,111347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assured Guaranty Municipal Corporation,,assured guaranty municipal corporation,17764,Assured Guaranty Municipal Corporation,108630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astellas Pharma Us Inc.,,astellas pharma us,3173,Astellas Pharma Us Inc,107678,"Astellas Pharma Us, Inc.",116535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Astenbeck Capital Management, LLC",,astenbeck capital management,4107,Astenbeck Capital Management LLC,108169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Astoria Generating Company, L.p.",,astoria generating company,115343,Astoria Generating Company LP,118236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Astra Zeneca Pharmaceuticals, LP",,astra zeneca pharmaceuticals,19160,Astra Zeneca Pharmaceuticals LP,108235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AstraZeneca Pharmaceuticals LP,,astrazeneca pharmaceuticals,540,Astrazeneca Pharmaceuticals LP,109886,Astrazeneca Pharmaceuticals LP,114130.0,Astrazeneca Pharmaceuticals,115808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asurion Corporation,,asurion corporation,3870,Asurion Corporation,111700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asurion LLC,,asurion,18815,Asurion LLC,109693,Asurion,121568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
