293605	`201720180AB1480`	`A`	`ABPCA`	`CX05`	`Assembly Environmental Safety and Toxic Materials`	`Quirk`	2017-03-17 16:42:53	2017-02-17 00:00:00	NULL	BILL_ANALYSIS_TBL_21.lob	`Y`	`Y`	`estradpi`	2017-03-17 16:42:53
293306	`201720180AB149`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`J`	2017-03-03 00:00:00	2017-01-10 00:00:00	NULL	BILL_ANALYSIS_TBL_22.lob	`Y`	`Y`	`BILL_ANALYSIS`	2017-03-03 11:22:03
293272	`201720180AB149`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Jones-Sawyer`	2017-02-27 09:40:21	2017-01-10 00:00:00	NULL	BILL_ANALYSIS_TBL_23.lob	`Y`	`Y`	`potterel`	2017-02-27 09:40:21
293665	`201720180AB15`	`A`	`ABPCA`	`CX08`	`Assembly Health`	`Maienschein`	2017-03-20 10:41:05	2016-12-05 00:00:00	NULL	BILL_ANALYSIS_TBL_24.lob	`Y`	`Y`	`rodgerpm`	2017-03-20 10:41:05
293362	`201720180AB150`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Mathis`	2017-03-10 11:04:56	2017-01-10 00:00:00	NULL	BILL_ANALYSIS_TBL_25.lob	`Y`	`Y`	`morantcm`	2017-03-10 11:04:56
293273	`201720180AB152`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Gallagher`	2017-02-27 09:40:29	2017-01-11 00:00:00	NULL	BILL_ANALYSIS_TBL_26.lob	`Y`	`Y`	`potterel`	2017-02-27 09:40:29
293671	`201720180AB153`	`A`	`ABPCA`	`CX38`	`Assembly Veterans Affairs`	`Chávez`	2017-03-20 14:56:25	2017-01-11 00:00:00	NULL	BILL_ANALYSIS_TBL_27.lob	`Y`	`Y`	`callisje`	2017-03-20 14:56:25
293274	`201720180AB153`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Chávez`	2017-02-27 09:40:36	2017-01-11 00:00:00	NULL	BILL_ANALYSIS_TBL_28.lob	`Y`	`Y`	`potterel`	2017-02-27 09:40:36
293281	`201720180AB154`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Levine`	2017-02-27 15:35:47	2017-01-11 00:00:00	NULL	BILL_ANALYSIS_TBL_29.lob	`Y`	`Y`	`potterel`	2017-02-27 15:35:47
293416	`201720180AB16`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Cooper`	2017-03-13 09:22:00	2016-12-05 00:00:00	NULL	BILL_ANALYSIS_TBL_30.lob	`Y`	`Y`	`potterel`	2017-03-13 09:22:00
293315	`201720180AB160`	`A`	`ABPCA`	`CX11`	`Assembly Human Services`	`Mark Stone`	2017-03-03 16:01:17	2017-01-12 00:00:00	NULL	BILL_ANALYSIS_TBL_31.lob	`Y`	`Y`	`fraustin`	2017-03-03 16:01:17
293383	`201720180AB162`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Cervantes`	2017-03-10 15:09:44	2017-02-28 00:00:00	NULL	BILL_ANALYSIS_TBL_32.lob	`Y`	`Y`	`highlasl`	2017-03-10 15:09:44
293316	`201720180AB167`	`A`	`ABPCA`	`CX11`	`Assembly Human Services`	`Lackey`	2017-03-03 16:02:01	2017-02-27 00:00:00	NULL	BILL_ANALYSIS_TBL_33.lob	`Y`	`Y`	`fraustin`	2017-03-03 16:02:01
293444	`201720180AB169`	`A`	`ABPCA`	`CX03`	`Assembly Education`	`O'Donnell`	2017-03-13 15:32:03	2017-03-02 00:00:00	NULL	BILL_ANALYSIS_TBL_34.lob	`Y`	`Y`	`rupertfg`	2017-03-13 15:32:03
293421	`201720180AB172`	`A`	`ABPCA`	`CX09`	`Assembly Higher Education`	`Chávez`	2017-03-13 10:53:01	2017-01-17 00:00:00	NULL	BILL_ANALYSIS_TBL_35.lob	`Y`	`Y`	`teelke`	2017-03-13 10:53:01
293567	`201720180AB176`	`A`	`ABPCA`	`CX24`	`Assembly Water, Parks and Wildlife`	`Salas`	2017-03-17 15:22:54	2017-01-18 00:00:00	NULL	BILL_ANALYSIS_TBL_36.lob	`Y`	`Y`	`shinch`	2017-03-17 15:22:54
293201	`201720180AB18`	`A`	`ABPCA`	`CX24`	`Assembly Water, Parks and Wildlife`	`Eduardo Garcia`	2017-02-03 12:07:17	2016-12-05 00:00:00	NULL	BILL_ANALYSIS_TBL_37.lob	`Y`	`Y`	`shinch`	2017-02-03 12:07:17
293249	`201720180AB18`	`A`	`ABPCA`	`CX25`	`Assembly Appropriations`	`Eduardo Garcia`	2017-02-21 12:39:24	2016-12-05 00:00:00	NULL	BILL_ANALYSIS_TBL_38.lob	`Y`	`Y`	`petitptr`	2017-02-21 12:39:24
293347	`201720180AB18`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`EDUARDO`	2017-03-09 00:00:00	2017-02-23 00:00:00	NULL	BILL_ANALYSIS_TBL_39.lob	`Y`	`Y`	`BILL_ANALYSIS`	2017-03-09 08:10:05
293384	`201720180AB181`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Lackey`	2017-03-10 15:09:56	2017-01-18 00:00:00	NULL	BILL_ANALYSIS_TBL_40.lob	`Y`	`Y`	`highlasl`	2017-03-10 15:09:56
293584	`201720180AB182`	`A`	`ABPCA`	`CX08`	`Assembly Health`	`Waldron`	2017-03-17 15:51:42	2017-03-09 00:00:00	NULL	BILL_ANALYSIS_TBL_41.lob	`Y`	`Y`	`rodgerpm`	2017-03-17 15:51:42
293498	`201720180AB184`	`A`	`ABPCA`	`CX16`	`Assembly Natural Resources`	`Berman`	2017-03-17 11:44:01	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_42.lob	`Y`	`Y`	`devriejs`	2017-03-17 11:44:01
293445	`201720180AB185`	`A`	`ABPCA`	`CX03`	`Assembly Education`	`O'Donnell`	2017-03-13 15:32:28	2017-03-07 00:00:00	NULL	BILL_ANALYSIS_TBL_43.lob	`Y`	`Y`	`rupertfg`	2017-03-13 15:32:28
293585	`201720180AB186`	`A`	`ABPCA`	`CX08`	`Assembly Health`	`Eggman`	2017-03-17 15:51:52	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_44.lob	`Y`	`Y`	`rodgerpm`	2017-03-17 15:51:52
293719	`201720180AB187`	`A`	`ABPCA`	`CX04`	`Assembly Elections and Redistricting`	`Gloria`	2017-03-21 12:10:27	2017-03-14 00:00:00	NULL	BILL_ANALYSIS_TBL_45.lob	`Y`	`Y`	`barberlb`	2017-03-21 12:10:27
293446	`201720180AB189`	`A`	`ABPCA`	`CX03`	`Assembly Education`	`Low`	2017-03-13 15:32:48	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_46.lob	`Y`	`Y`	`rupertfg`	2017-03-13 15:32:48
293586	`201720180AB191`	`A`	`ABPCA`	`CX08`	`Assembly Health`	`Wood`	2017-03-17 15:52:00	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_47.lob	`Y`	`Y`	`rodgerpm`	2017-03-17 15:52:00
293447	`201720180AB192`	`A`	`ABPCA`	`CX03`	`Assembly Education`	`Medina`	2017-03-13 15:33:23	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_48.lob	`Y`	`Y`	`rupertfg`	2017-03-13 15:33:23
293275	`201720180AB194`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Patterson`	2017-02-27 09:40:45	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_49.lob	`Y`	`Y`	`potterel`	2017-02-27 09:40:45
