first,middle,last,pid,state,num_hearings,num_bills,num_utterances,uid,url
Dr.,,Arthur Miracle,18910,CA,1,1,1,5843588,https://demo.digitaldemocracy.org/hearing/1103?startTime=52&vid=BicS_u5M6PI
Linda,,Kurtz,18911,CA,1,1,1,5843602,https://demo.digitaldemocracy.org/hearing/1103?startTime=89&vid=BicS_u5M6PI
Steve,,Andris,18912,CA,1,1,1,5843604,https://demo.digitaldemocracy.org/hearing/1103?startTime=97&vid=BicS_u5M6PI
Pablo,,Lopez,18913,CA,1,1,1,5843608,https://demo.digitaldemocracy.org/hearing/1103?startTime=106&vid=BicS_u5M6PI
Janet,,Jacobson,18915,CA,1,1,1,5843618,https://demo.digitaldemocracy.org/hearing/1103?startTime=134&vid=BicS_u5M6PI
Kathy,,Kinnear,18916,CA,1,1,19,5843642,https://demo.digitaldemocracy.org/hearing/1103?startTime=323&vid=BicS_u5M6PI
Stephanie,,Piazza,18919,CA,1,1,1,5847075,https://demo.digitaldemocracy.org/hearing/1103?startTime=514&vid=psqzd0W91CM
Ivory,,Evans,18920,CA,1,1,1,5847077,https://demo.digitaldemocracy.org/hearing/1103?startTime=522&vid=psqzd0W91CM
Carlito,,Ramirez,18921,CA,1,1,1,5847079,https://demo.digitaldemocracy.org/hearing/1103?startTime=525&vid=psqzd0W91CM
Rebecca,,Buhl,18922,CA,1,1,5,5849143,https://demo.digitaldemocracy.org/hearing/1103?startTime=339&vid=cpHMWNIiO_w
Melissa,,Chan,18924,CA,1,1,6,5849185,https://demo.digitaldemocracy.org/hearing/1103?startTime=579&vid=cpHMWNIiO_w
Shane,,Desselle,18925,CA,1,1,11,5847323,https://demo.digitaldemocracy.org/hearing/1103?startTime=1820&vid=psqzd0W91CM
Veronica,,Bandy,18926,CA,1,1,1,5849335,https://demo.digitaldemocracy.org/hearing/1103?startTime=1285&vid=cpHMWNIiO_w
Jennifer,,Steiner,18927,CA,1,1,2,5849455,https://demo.digitaldemocracy.org/hearing/1103?startTime=1607&vid=cpHMWNIiO_w
Corey,,Wright,18928,CA,1,1,2,5849463,https://demo.digitaldemocracy.org/hearing/1103?startTime=1650&vid=cpHMWNIiO_w
Danny,,Chen,18929,CA,1,1,5,5907444,https://demo.digitaldemocracy.org/hearing/1111?startTime=575&vid=xWL4VOeb-rM
Renee,,Ochoa,18931,CA,1,1,3,5907560,https://demo.digitaldemocracy.org/hearing/1111?startTime=1387&vid=xWL4VOeb-rM
Liz,,Helms,18933,CA,1,1,2,5851242,https://demo.digitaldemocracy.org/hearing/1103?startTime=552&vid=epgBQl3TR1E
Jim,,Canker,18934,CA,1,1,1,5851266,https://demo.digitaldemocracy.org/hearing/1103?startTime=635&vid=epgBQl3TR1E
Sherilyn,,Adams,18935,CA,1,1,9,5873141,https://demo.digitaldemocracy.org/hearing/1107?startTime=446&vid=k-uaivcmo3A
Wilma,,Brown,18936,CA,1,1,7,5874723,https://demo.digitaldemocracy.org/hearing/1107?startTime=297&vid=_JNFiYWjqCU
Carly,,Tinko,18939,CA,1,1,1,5874861,https://demo.digitaldemocracy.org/hearing/1107?startTime=1110&vid=_JNFiYWjqCU
Krista,,Lucchesi,18942,CA,1,1,1,5874887,https://demo.digitaldemocracy.org/hearing/1107?startTime=1186&vid=_JNFiYWjqCU
Eva,,Holt Rusmore,18943,CA,1,1,4,5876445,https://demo.digitaldemocracy.org/hearing/1107?startTime=384&vid=BrpYWpCCyCs
Sheila,,Goldmanhart,18945,CA,1,1,1,5874947,https://demo.digitaldemocracy.org/hearing/1107?startTime=1364&vid=_JNFiYWjqCU
Dianne,,McEllety,18946,CA,1,1,1,5876483,https://demo.digitaldemocracy.org/hearing/1107?startTime=580&vid=BrpYWpCCyCs
Shazi,,Imangi,18947,CA,1,1,1,5876487,https://demo.digitaldemocracy.org/hearing/1107?startTime=592&vid=BrpYWpCCyCs
Reginald,,Hogan,18948,CA,1,1,1,5874985,https://demo.digitaldemocracy.org/hearing/1107?startTime=1470&vid=_JNFiYWjqCU
Pete,,Wyatt,18949,CA,1,1,1,5875005,https://demo.digitaldemocracy.org/hearing/1107?startTime=1536&vid=_JNFiYWjqCU
Sarah,,Garner,18950,CA,1,1,1,5875013,https://demo.digitaldemocracy.org/hearing/1107?startTime=1549&vid=_JNFiYWjqCU
Kathy,,Gian,18951,CA,1,1,1,5875023,https://demo.digitaldemocracy.org/hearing/1107?startTime=1571&vid=_JNFiYWjqCU
Brad,,Wagenknecht,18952,CA,1,1,4,5876605,https://demo.digitaldemocracy.org/hearing/1107?startTime=1034&vid=BrpYWpCCyCs
Jay,,Bloodsworth,18953,CA,1,1,1,5876661,https://demo.digitaldemocracy.org/hearing/1107?startTime=1412&vid=BrpYWpCCyCs
Janae,,Dodgins,18954,CA,1,1,1,5876665,https://demo.digitaldemocracy.org/hearing/1107?startTime=1423&vid=BrpYWpCCyCs
Ray,,Lu,18955,CA,1,1,1,5876667,https://demo.digitaldemocracy.org/hearing/1107?startTime=1431&vid=BrpYWpCCyCs
Matt,,Mukiama,18956,CA,1,1,1,5876669,https://demo.digitaldemocracy.org/hearing/1107?startTime=1438&vid=BrpYWpCCyCs
Michelle,,Rogers,18957,CA,1,1,1,5876673,https://demo.digitaldemocracy.org/hearing/1107?startTime=1453&vid=BrpYWpCCyCs
Stacy,,Dollar,18958,CA,1,1,3,5876683,https://demo.digitaldemocracy.org/hearing/1107?startTime=1505&vid=BrpYWpCCyCs
Braden,,O'browski,18960,CA,1,1,3,5876701,https://demo.digitaldemocracy.org/hearing/1107?startTime=1619&vid=BrpYWpCCyCs
Charles,,Signs,18963,CA,1,1,1,5876721,https://demo.digitaldemocracy.org/hearing/1107?startTime=1721&vid=BrpYWpCCyCs
Christina,,Mendez,18964,CA,1,1,1,5876729,https://demo.digitaldemocracy.org/hearing/1107?startTime=1775&vid=BrpYWpCCyCs
Kathy,,Gance,18965,CA,1,1,1,5876731,https://demo.digitaldemocracy.org/hearing/1107?startTime=1781&vid=BrpYWpCCyCs
Candy,,Smith,18966,CA,1,1,1,5876737,https://demo.digitaldemocracy.org/hearing/1107?startTime=1795&vid=BrpYWpCCyCs
