"ABSENTEEISM: Surface all instances in which a legislator has registered no votes (so abstained/not voting/no vote recorded) on all bills heard in a committee or floor session, and has registered no utterances. The goal here is to get at absenteeism."


first,last,total absent,bid,hid,date
Isadore,Hall,113
,,,CA_201520160AB69,744,2015-05-28
,,,CA_201520160AB498,744,2015-05-28
,,,CA_201520160AB1532,744,2015-05-28
,,,CA_201520160AB349,744,2015-05-28
,,,CA_201520160AB1173,744,2015-05-28
,,,CA_201520160AB1373,744,2015-05-28
,,,CA_201520160AB567,744,2015-05-28
,,,CA_201520160AB402,744,2015-05-28
,,,CA_201520160AB1042,744,2015-05-28
,,,CA_201520160AB160,744,2015-05-28
,,,CA_201520160AB306,744,2015-05-28
,,,CA_201520160AB388,744,2015-05-28
,,,CA_201520160AB443,744,2015-05-28
,,,CA_201520160AB1075,744,2015-05-28
,,,CA_201520160AB475,744,2015-05-28
,,,CA_201520160AB571,744,2015-05-28
,,,CA_201520160AB914,744,2015-05-28
,,,CA_201520160AJR14,744,2015-05-28
,,,CA_201520160AB808,744,2015-05-28
,,,CA_201520160AB1099,744,2015-05-28
,,,CA_201520160AB538,744,2015-05-28
,,,CA_201520160SCR37,744,2015-05-28
,,,CA_201520160AB326,700,2016-01-15
,,,CA_201520160AB488,700,2016-01-15
,,,CA_201520160SB376,913,2015-09-10
,,,CA_201520160SB251,913,2015-09-10
,,,CA_201520160AB45,728,2016-01-27
,,,CA_201520160AB1588,1243,2016-06-01
Susan,Bonilla,35
,,,CA_201520160AB165,132,2015-04-15
,,,CA_201520160AB234,132,2015-04-15
,,,CA_201520160AB256,132,2015-04-15
,,,CA_201520160AB365,132,2015-04-15
,,,CA_201520160AB400,132,2015-04-15
,,,CA_201520160AB701,132,2015-04-15
,,,CA_201520160AB804,132,2015-04-15
,,,CA_201520160AB1245,132,2015-04-15
,,,CA_201520160AB1726,1102,2016-04-12
,,,CA_201520160SB247,1401,2016-06-29
,,,CA_201520160SB759,1401,2016-06-29
,,,CA_201520160SB814,1401,2016-06-29
,,,CA_201520160SB896,1401,2016-06-29
,,,CA_201520160SB923,1401,2016-06-29
,,,CA_201520160SB954,1401,2016-06-29
,,,CA_201520160SB977,1401,2016-06-29
,,,CA_201520160SB1030,1401,2016-06-29
,,,CA_201520160SB1036,1401,2016-06-29
,,,CA_201520160SB1062,1401,2016-06-29
,,,CA_201520160SB1089,1401,2016-06-29
,,,CA_201520160SB1241,1401,2016-06-29
,,,CA_201520160AJR4,593,2015-02-17
,,,CA_201520160AB1058,643,2015-05-07
,,,CA_201520160AB36,660,2015-05-18
,,,CA_201520160SB175,806,2015-08-24
,,,CA_201520160SB303,878,2015-08-31
,,,CA_201520160SB533,878,2015-08-31
,,,CA_201520160AB1705,937,2016-03-31
,,,CA_201520160ACR137,1065,2016-04-28
,,,CA_201520160AB1820,1194,2016-05-23
,,,CA_201520160AB2208,1246,2016-06-02
,,,CA_201520160AB2476,1246,2016-06-02
,,,CA_201520160AB2724,1246,2016-06-02
,,,CA_201520160SB308,1247,2016-06-06
,,,CA_201520160AB2777,1246,2016-06-02
Tony,Thurmond,15
,,,CA_201520160AB1485,196,2015-04-28
,,,CA_201520160AB1526,196,2015-04-28
,,,CA_201520160SB616,1425,2016-06-22
,,,CA_201520160AJR8,643,2015-05-07
,,,CA_201520160AB832,659,2015-05-14
,,,CA_201520160AB69,744,2015-05-28
,,,CA_201520160SB175,806,2015-08-24
,,,CA_201520160SB842,1387,2016-06-27
,,,CA_201520160AJR37,1387,2016-06-27
,,,CA_201520160SB49,1387,2016-06-27
,,,CA_201520160SB775,1387,2016-06-27
,,,CA_201520160SJR15,1387,2016-06-27
,,,CA_201520160SB1255,1387,2016-06-27
,,,CA_201520160SB420,1387,2016-06-27
,,,CA_201520160SB939,1387,2016-06-27
"K.H. ""Katcho""",Achadjian,44
,,,CA_201520160SB414,418,2015-07-15
,,,CA_201520160SB494,418,2015-07-15
,,,CA_201520160SB530,418,2015-07-15
,,,CA_201520160SB295,418,2015-07-15
,,,CA_201520160SB286,409,2015-07-13
,,,CA_201520160AB1437,666,2016-01-06
,,,CA_201520160AB1913,919,2016-03-29
,,,CA_201520160AB2273,919,2016-03-29
,,,CA_201520160AB2494,919,2016-03-29
,,,CA_201520160AB56,745,2015-05-26
,,,CA_201520160AB1075,744,2015-05-28
,,,CA_201520160AB475,744,2015-05-28
,,,CA_201520160AB571,744,2015-05-28
,,,CA_201520160AB914,744,2015-05-28
,,,CA_201520160AJR14,744,2015-05-28
,,,CA_201520160AB808,744,2015-05-28
,,,CA_201520160AB1099,744,2015-05-28
,,,CA_201520160AB538,744,2015-05-28
,,,CA_201520160SCR37,744,2015-05-28
,,,CA_201520160AB1335,527,2015-06-03
,,,CA_201520160AB3,527,2015-06-03
,,,CA_201520160SB75,771,2015-06-19
,,,CA_201520160SB371,774,2015-06-29
,,,CA_201520160AJR12,774,2015-06-29
,,,CA_201520161SB4,562,2015-09-09
,,,CA_201520162SB2,562,2015-09-09
,,,CA_201520160SB493,910,2015-09-04
,,,CA_201520160AB1494,728,2016-01-27
,,,CA_201520160AB26,728,2016-01-27
,,,CA_201520160AJR32,1022,2016-04-21
,,,CA_201520160AB2389,1139,2016-05-12
,,,CA_201520160AB2250,1116,2016-05-09
,,,CA_201520160AB2594,1194,2016-05-23
,,,CA_201520160AB2878,1239,2016-05-31
,,,CA_201520160SB10,1239,2016-05-31
,,,CA_201520160AB2444,1379,2016-06-23
,,,CA_201520160AJR45,1379,2016-06-23
,,,CA_201520160SB1092,1379,2016-06-23
,,,CA_201520160SJR20,1408,2016-06-30
,,,CA_201520160SB955,1676,2016-08-22
,,,CA_201520160AJR46,1775,2016-08-25
,,,CA_201520160SB1287,1775,2016-08-25
,,,CA_201520160SB1333,1775,2016-08-25
,,,CA_201520160SB1435,1785,2016-08-29
Autumn,Burke,36
,,,CA_201520160AB808,182,2015-04-28
,,,CA_201520160AB890,182,2015-04-28
,,,CA_201520160SB999,1307,2016-06-14
,,,CA_201520160AB863,629,2015-04-16
,,,CA_201520160AB809,747,2015-05-22
,,,CA_201520160SB175,806,2015-08-24
,,,CA_201520160AB708,731,2016-01-28
,,,CA_201520160SB32,912,2015-09-08
,,,CA_201520160AB1993,1139,2016-05-12
,,,CA_201520160AB2228,1139,2016-05-12
,,,CA_201520160AB2890,1139,2016-05-12
,,,CA_201520160AB2176,1139,2016-05-12
,,,CA_201520160AB1848,1139,2016-05-12
,,,CA_201520160AB2618,1139,2016-05-12
,,,CA_201520160AB2380,1139,2016-05-12
,,,CA_201520160AB1964,1139,2016-05-12
,,,CA_201520160AB2688,1139,2016-05-12
,,,CA_201520160AB1799,1139,2016-05-12
,,,CA_201520160AB1685,1139,2016-05-12
,,,CA_201520160AB2414,1139,2016-05-12
,,,CA_201520160AB2510,1139,2016-05-12
,,,CA_201520160AB2813,1139,2016-05-12
,,,CA_201520160AB1687,1139,2016-05-12
,,,CA_201520160AB1658,1139,2016-05-12
,,,CA_201520160AB1919,1139,2016-05-12
,,,CA_201520160AB2031,1139,2016-05-12
,,,CA_201520160AB2406,1139,2016-05-12
,,,CA_201520160AB2316,1139,2016-05-12
,,,CA_201520160AB2387,1139,2016-05-12
,,,CA_201520160AB2030,1139,2016-05-12
,,,CA_201520160AB2389,1139,2016-05-12
,,,CA_201520160AB2294,1139,2016-05-12
,,,CA_201520160AB2471,1139,2016-05-12
,,,CA_201520160SB254,1139,2016-05-12
,,,CA_201520160AB2748,1106,2016-05-05
,,,CA_201520160SB308,1288,2016-06-13
David,Chiu,27
,,,CA_201520160AB1678,856,2016-03-08
,,,CA_201520160AB1682,856,2016-03-08
,,,CA_201520160AB1655,894,2016-03-15
,,,CA_201520160AB1668,894,2016-03-15
,,,CA_201520160AB1696,894,2016-03-15
,,,CA_201520160AB1795,894,2016-03-15
,,,CA_201520160AB1823,894,2016-03-15
,,,CA_201520160AB1836,894,2016-03-15
,,,CA_201520160AB1058,643,2015-05-07
,,,CA_201520160SB86,843,2016-02-29
,,,CA_201520160SB1408,1237,2016-05-27
,,,CA_201520160SB826,1237,2016-05-27
,,,CA_201520160AB2007,1237,2016-05-27
,,,CA_201520160AJR29,1237,2016-05-27
,,,CA_201520160AB2082,1237,2016-05-27
,,,CA_201520160AB2590,1237,2016-05-27
,,,CA_201520160AB2220,1237,2016-05-27
,,,CA_201520160AB2826,1237,2016-05-27
,,,CA_201520160AB1886,1237,2016-05-27
,,,CA_201520160AB2501,1237,2016-05-27
,,,CA_201520160AB1924,1237,2016-05-27
,,,CA_201520160AB1749,1237,2016-05-27
,,,CA_201520160AB2770,1237,2016-05-27
,,,CA_201520160AB1979,1237,2016-05-27
,,,CA_201520160AB2078,1237,2016-05-27
,,,CA_201520160AB2263,1237,2016-05-27
,,,CA_201520160AB2737,1237,2016-05-27
Marc,Levine,14
,,,CA_201520160AB828,640,2015-05-04
,,,CA_201520160SB61,878,2015-08-31
,,,CA_201520160SB536,878,2015-08-31
,,,CA_201520160ACR104,741,2016-02-04
,,,CA_201520160AB2159,1081,2016-04-07
,,,CA_201520160AB1592,1081,2016-04-07
,,,CA_201520160SCR120,1081,2016-04-07
,,,CA_201520160AB1854,1081,2016-04-07
,,,CA_201520160SB93,990,2016-04-14
,,,CA_201520160AB2291,990,2016-04-14
,,,CA_201520160AB1947,990,2016-04-14
,,,CA_201520160AB2218,990,2016-04-14
,,,CA_201520160ACR121,990,2016-04-14
,,,CA_201520160AB1817,990,2016-04-14
Luis,Alejo,48
,,,CA_201520160AB59,679,2016-01-12
,,,CA_201520160AB2446,1008,2016-04-19
,,,CA_201520160SB819,1255,2016-06-08
,,,CA_201520160SB866,1396,2016-06-28
,,,CA_201520160SB980,1396,2016-06-28
,,,CA_201520160SB1059,1396,2016-06-28
,,,CA_201520160SB1155,1396,2016-06-28
,,,CA_201520160SB1180,1396,2016-06-28
,,,CA_201520160SB1227,1396,2016-06-28
,,,CA_201520160AB312,747,2015-05-22
,,,CA_201520160AJR7,747,2015-05-22
,,,CA_201520160AB466,747,2015-05-22
,,,CA_201520160AB661,747,2015-05-22
,,,CA_201520160AB364,747,2015-05-22
,,,CA_201520160AB738,747,2015-05-22
,,,CA_201520160AB1455,747,2015-05-22
,,,CA_201520160AB1163,747,2015-05-22
,,,CA_201520160AB1360,747,2015-05-22
,,,CA_201520160AB554,747,2015-05-22
,,,CA_201520160AB622,747,2015-05-22
,,,CA_201520160AB809,747,2015-05-22
,,,CA_201520160AB888,747,2015-05-22
,,,CA_201520160AB913,747,2015-05-22
,,,CA_201520160AB1144,747,2015-05-22
,,,CA_201520160AB1157,747,2015-05-22
,,,CA_201520160AB704,747,2015-05-22
,,,CA_201520160AB835,747,2015-05-22
,,,CA_201520160AB851,747,2015-05-22
,,,CA_201520160AB568,747,2015-05-22
,,,CA_201520160AB1448,747,2015-05-22
,,,CA_201520160AB816,747,2015-05-22
,,,CA_201520160AB57,747,2015-05-22
,,,CA_201520160AB547,747,2015-05-22
,,,CA_201520160AB1077,747,2015-05-22
,,,CA_201520160AB1191,747,2015-05-22
,,,CA_201520160AB1290,747,2015-05-22
,,,CA_201520160AB1363,747,2015-05-22
,,,CA_201520160AB1101,747,2015-05-22
,,,CA_201520160AB1185,747,2015-05-22
,,,CA_201520160AB715,747,2015-05-22
,,,CA_201520160AB514,747,2015-05-22
,,,CA_201520160AB656,747,2015-05-22
,,,CA_201520160AB682,747,2015-05-22
,,,CA_201520160AB1030,747,2015-05-22
,,,CA_201520160AB1431,747,2015-05-22
,,,CA_201520160AB1820,1194,2016-05-23
,,,CA_201520160SB308,1247,2016-06-06
,,,CA_201520160SB443,1547,2016-08-15
Tom,Lackey,5
,,,CA_201520160AB2425,1102,2016-04-12
,,,CA_201520160AB2725,1102,2016-04-12
,,,CA_201520161SB4,562,2015-09-09
,,,CA_201520162SB2,562,2015-09-09
,,,CA_201520160AB2250,1116,2016-05-09
Evan,Low,18
,,,CA_201520160AB1112,195,2015-04-28
,,,CA_201520160SB344,387,2015-07-07
,,,CA_201520160SB376,387,2015-07-07
,,,CA_201520160SB1011,1325,2016-06-15
,,,CA_201520160AJR11,634,2015-04-23
,,,CA_201520160AB356,528,2015-06-04
,,,CA_201520160SB422,774,2015-06-29
,,,CA_201520160SB651,774,2015-06-29
,,,CA_201520160SB371,774,2015-06-29
,,,CA_201520160SB440,774,2015-06-29
,,,CA_201520160AJR12,774,2015-06-29
,,,CA_201520160SB175,806,2015-08-24
,,,CA_201520160SB7,912,2015-09-08
,,,CA_201520160SB308,562,2015-09-09
,,,CA_201520160ACR100,1078,2016-05-02
,,,CA_201520160AJR28,1106,2016-05-05
,,,CA_201520160SB1298,1532,2016-08-11
,,,CA_201520160SB654,1532,2016-08-11
Das,Williams,71
,,,CA_201520160SB86,815,2016-02-23
,,,CA_201520160AB832,659,2015-05-14
,,,CA_201520160AB882,745,2015-05-26
,,,CA_201520160SB277,773,2015-06-25
,,,CA_201520160SB227,787,2015-07-16
,,,CA_201520160SB343,907,2015-09-03
,,,CA_201520160SB48,565,2015-09-11
,,,CA_201520160SCR73,565,2015-09-11
,,,CA_201520160SB249,565,2015-09-11
,,,CA_201520160SB327,565,2015-09-11
,,,CA_201520160SB36,565,2015-09-11
,,,CA_201520160SB107,565,2015-09-11
,,,CA_201520160SB99,565,2015-09-11
,,,CA_201520160SB103,565,2015-09-11
,,,CA_201520160SB101,565,2015-09-11
,,,CA_201520160SB102,565,2015-09-11
,,,CA_201520160SB106,565,2015-09-11
,,,CA_201520160SB150,565,2015-09-11
,,,CA_201520160SCR79,565,2015-09-11
,,,CA_201520160SJR11,565,2015-09-11
,,,CA_201520160SB377,565,2015-09-11
,,,CA_201520160SB145,565,2015-09-11
,,,CA_201520160SB292,565,2015-09-11
,,,CA_201520160SB637,565,2015-09-11
,,,CA_201520160SB27,565,2015-09-11
,,,CA_201520160SB4,565,2015-09-11
,,,CA_201520160SB406,565,2015-09-11
,,,CA_201520160SB350,565,2015-09-11
,,,CA_201520160SB548,565,2015-09-11
,,,CA_201520160SB643,565,2015-09-11
,,,CA_201520160SB168,565,2015-09-11
,,,CA_201520160ACR100,1078,2016-05-02
,,,CA_201520160AB2361,1078,2016-05-02
,,,CA_201520160AB2691,1078,2016-05-02
,,,CA_201520160AB2128,1078,2016-05-02
,,,CA_201520160AB1702,1078,2016-05-02
,,,CA_201520160AB2735,1078,2016-05-02
,,,CA_201520160AB1921,1078,2016-05-02
,,,CA_201520160AB2165,1036,2016-04-25
,,,CA_201520160AB1594,1036,2016-04-25
,,,CA_201520160AB1843,1036,2016-04-25
,,,CA_201520160AB2690,1036,2016-04-25
,,,CA_201520160AB2252,1036,2016-04-25
,,,CA_201520160AB1810,1036,2016-04-25
,,,CA_201520160AB2555,1036,2016-04-25
,,,CA_201520160SB95,1036,2016-04-25
,,,CA_201520160AB1993,1170,2016-05-19
,,,CA_201520160AB2723,1170,2016-05-19
,,,CA_201520160AB1743,1170,2016-05-19
,,,CA_201520160AB2393,1170,2016-05-19
,,,CA_201520160AB1926,1170,2016-05-19
,,,CA_201520160AB2288,1170,2016-05-19
,,,CA_201520160AB2272,1170,2016-05-19
,,,CA_201520160AB2337,1170,2016-05-19
,,,CA_201520160AB2532,1170,2016-05-19
,,,CA_201520160AB1757,1170,2016-05-19
,,,CA_201520160AB1761,1170,2016-05-19
,,,CA_201520160AB1840,1170,2016-05-19
,,,CA_201520160AB2025,1170,2016-05-19
,,,CA_201520160AB2320,1170,2016-05-19
,,,CA_201520160AB2442,1170,2016-05-19
,,,CA_201520160AB2546,1170,2016-05-19
,,,CA_201520160AB1662,1170,2016-05-19
,,,CA_201520160AB2533,1170,2016-05-19
,,,CA_201520160AB2148,1170,2016-05-19
,,,CA_201520160AB2371,1170,2016-05-19
,,,CA_201520160AB2385,1170,2016-05-19
,,,CA_201520160AB1708,1170,2016-05-19
,,,CA_201520160AB2501,1237,2016-05-27
,,,CA_201520160AB2878,1239,2016-05-31
,,,CA_201520160AB1853,1239,2016-05-31
Cheryl,Brown,35
,,,CA_201520160AB312,747,2015-05-22
